ye,ma,loc,brand,model,cla,home,frm,qu,cy,hp,we,pl,do,le,wi,he,li1,li2,li3,li,sp,ac,eurpr
70,Belgium,Germany,audi,100/200,standard,0,VW,2700,1760,59,1050,5,2,459,173,142,8.899999618530273,8.899999618530273,NA,8.899999618530273,156,13.5,3018.0029296875
70,Belgium,France,citroen,2CV6,subcompact,0,Fiat,3500,435,17.5,560,4,5,383,148,160,5.5,NA,5.5,5.5,102,NA,1206.949462890625
70,Belgium,France,citroen,dyane,subcompact,0,Fiat,6700,435,19,590,4,5,387,150,154,5.5,NA,5.5,5.5,104,NA,1307.6334228515625
70,Belgium,Italy,fiat,128,subcompact,0,Fiat,7800,1116,40.5,785,5,2,385,159,142,NA,8,8,8,135,19.100000381469727,1759.452880859375
70,Belgium,Germany,ford,escort,compact,0,Ford,9500,1098,29.5,825,5,2,398,157,138,8.199999809265137,NA,8.199999809265137,8.199999809265137,125,28.399999618530273,1633.597900390625
70,Belgium,Belgium,ford,taunus,intermediate,0,Ford,2000,1298,39.5,880,5,4,427,165,139,9.399999618530273,9.399999618530273,9.399999618530273,NA,131,19.600000381469727,1916.7716064453125
70,Belgium,Germany,mercedes,200,luxury,0,Mercedes,6660,1988,70,1330,5,4,468.5,177,144,NA,10.899999618530273,10.899999618530273,10.899999618530273,160,15.199999809265137,4228.72802734375
70,Belgium,Germany,opel,kadet,compact,0,GeneralMotors,10500,1078,33,745,5,2,410.5,157,140,7.5,8.800000190734863,10,NA,125,26,1683.9398193359375
70,Belgium,Germany,opel,record,standard,0,GeneralMotors,11000,1492,29.5,1025,5,2,455,175,146,9,NA,12,10.5,143,22,2262.872802734375
70,Belgium,Germany,opel,commodor,standard,0,GeneralMotors,1500,2490,88.5,1145,5,2,457,175,144.5,10,13,16,NA,177,12,3262.16162109375
70,Belgium,France,peugeot,504,standard,0,Peugeot,5000,1796,56,1200,6,4,449,169,146,11.600000381469727,NA,11.600000381469727,11.600000381469727,156,14.800000190734863,3080.930419921875
70,Belgium,France,peugeot,304,compact,0,Peugeot,2450,1288,43,915,5,4,414,157,141,10.100000381469727,10.100000381469727,NA,10.100000381469727,150,15.600000381469727,2469.275146484375
70,Belgium,France,renault,4,subcompact,0,Renault,8600,845,20,650,4,4,367,148.5,155,5.5,NA,6,5.833333492279053,110,NA,1256.0328369140625
70,Belgium,France,renault,16,compact,0,Renault,7150,1470,40.5,980,5,4,423,165,145.5,8.5,10,NA,10,142,20,2262.872802734375
70,Belgium,France,renault,6,subcompact,0,Renault,8000,845,25,750,5,5,385,154,150,NA,7,7,7,117,NA,1633.597900390625
70,Belgium,France,renault,12,subcompact,0,Renault,4450,1289,39.5,880,5,4,434,163.5,143.5,8.25,8.25,NA,8.25,140,17,2011.162841796875
70,Belgium,UK,rover,mini,subcompact,0,Rover,7350,848,25.5,634,4,2,305,141,135,7.5,NA,7.5,7.5,118,26,1507.742919921875
70,Belgium,Sweden,saab,99,standard,0,Saab,544,1709,59,1070,5,2,435.5,167.5,145,9,NA,9,9,155,14.5,3209.302490234375
70,Belgium,Japan,toyota,corolla,compact,0,Toyota,9350,1077,50,720,5,4,385.5,148.5,138,8.100000381469727,NA,8.100000381469727,8.100000381469727,145,NA,1759.452880859375
70,Belgium,Germany,VW,kaefer,subcompact,0,VW,14000,1192,25,760,5,2,407,155,150,NA,7.5,7.5,7.5,115,37,1507.742919921875
70,Belgium,Italy,alfa romeo,1750,intermediate,0,AlfaRomeo,800,1779,97,1110,5,4,439,156.5,143,11.600000381469727,11.600000381469727,NA,11.600000381469727,180,NA,3974.500732421875
70,Belgium,Italy,alfa romeo,giulia,compact,0,AlfaRomeo,1200,1290,57.5,1000,5,4,416,156,143,9.699999809265137,9.699999809265137,NA,9.699999809265137,155,16.399999618530273,2742.38037109375
70,Belgium,Germany,audi,1200,compact,0,VW,1000,1177,40.5,710,5,2,400,150,139,7,7.800000190734863,NA,7.800000190734863,144,14.5,2026.2655029296875
70,Belgium,Germany,audi,60-75,intermediate,0,VW,3000,1496,40.5,945,5,2,438,163,145,NA,8.699999809265137,8.699999809265137,8.699999809265137,138,18,2313.21484375
70,Belgium,Germany,audi,prinz1000,subcompact,0,VW,2200,996,29.5,660,5,2,379,149,136,7,7.800000190734863,8.600000381469727,NA,130,20,2793.98095703125
70,Belgium,Germany,audi,prinz4,subcompact,0,VW,1350,598,22,555,5,2,344,149,136,5.5,6,NA,6,120,31,1381.887939453125
70,Belgium,Germany,audi,ro 80,standard,0,VW,200,994,84.5,1280,5,4,478,176,141,11.199999809265137,NA,11.199999809265137,11.199999809265137,180,12.800000190734863,5348.83740234375
70,Belgium,Germany,BMW,1502,compact,0,BMW,2100,1573,62.5,930,5,2,423,159,141,9.899999618530273,NA,9.899999618530273,9.899999618530273,160,13.300000190734863,2768.81005859375
70,Belgium,Germany,BMW,1800,intermediate,0,BMW,1100,1766,66,1100,5,4,450,171,144.5,NA,10.5,10.5,10.5,160,13,3574.281982421875
70,Belgium,Germany,BMW,2002,standard,0,BMW,2200,1990,73.5,940,5,2,423,159,141,10,10,10,NA,170,10.899999618530273,3121.203857421875
