ye,ma,tax,pop,engdp,ergdp,engdpc,ergdpc
1983,B,0.25,9860000,75721383936,98588925952,7679.6533203125,9998.876953125
1984,B,0.25,9860000,75817287680,93893754880,7689.3798828125,9522.693359375
1985,B,0.25,9860000,82039455744,95791898624,8320.431640625,9715.203125
1986,B,0.25,9860000,98125234176,110554669056,9951.849609375,11212.44140625
1987,B,0.25,9870000,110539980800,121879339008,11199.5927734375,12348.4638671875
1988,B,0.25,9900000,114203181056,123267981312,11535.6748046875,12451.3115234375
1989,B,0.25,9940000,123678253056,127568650240,12442.48046875,12833.8681640625
1990,B,0.25,9970000,145618534400,145618534400,14605.6708984375,14605.6708984375
1973,B,0.25,9740000,38287835136,97961934848,3930.9892578125,10057.693359375
1974,B,0.25,9770000,45543104512,103556046848,4661.525390625,10599.390625
1975,B,0.25,9790000,51498889216,104247091200,5260.3564453125,10648.32421875
1976,B,0.25,9810000,59844628480,112476962816,6100.3701171875,11465.5419921875
1977,B,0.25,9820000,68579598336,119893352448,6983.666015625,12209.0986328125
1978,B,0.25,9830000,78333501440,131140796416,7968.8203125,13340.8740234375
1979,B,0.25,9840000,86863020032,139138105344,8827.54296875,14140.0517578125
1980,B,0.25,9850000,90813194240,140974784512,9219.61328125,14312.1611328125
1981,B,0.25,9850000,83218063360,122447945728,8448.5341796875,12431.263671875
1982,B,0.25,9860000,76726362112,105754443776,7781.578125,10725.6025390625
1970,B,0.25,9660000,25795239936,79353577472,2670.314697265625,8214.65625
1971,B,0.25,9670000,28767776768,83840876544,2974.951171875,8670.2041015625
1972,B,0.25,9710000,32827723776,90125860864,3380.816162109375,9281.7568359375
