ye,ma,tax,pop,engdp,ergdp,engdpc,ergdpc
1985,G,0.14000000059604645,60970000,626800590848,707825762304,10280.4755859375,11609.41015625
1986,G,0.14000000059604645,61010000,767104253952,839624097792,12573.41796875,13762.0732421875
1987,G,0.14000000059604645,61090000,860565274624,924516155392,14086.84375,15133.673828125
1988,G,0.14000000059604645,61420000,880831299584,932058365952,14341.115234375,15175.16015625
1989,G,0.14000000059604645,61990000,936002519040,967045349376,15099.25,15600.021484375
1990,G,0.14000000059604645,63230000,1114333642752,1114333642752,17623.49609375,17623.49609375
1973,G,0.12999999523162842,61970000,292949917696,534792142848,4727.2861328125,8629.85546875
1974,G,0.12999999523162842,62040000,321939865600,549620285440,5189.23046875,8859.1279296875
1975,G,0.12999999523162842,61830000,342057746432,552579694592,5532.2294921875,8937.0810546875
1976,G,0.12999999523162842,61510000,391458979840,607895945216,6364.15185546875,9882.8798828125
1977,G,0.12999999523162842,61400000,445322199040,667841658880,7252.8046875,10876.900390625
1978,G,0.12999999523162842,61310000,516562616320,743522172928,8425.421875,12127.2578125
1979,G,0.12999999523162842,61440000,592914415616,822519005184,9650.2998046875,13387.353515625
1980,G,0.12999999523162842,61540000,610715762688,807579287552,9923.8828125,13122.8349609375
1981,G,0.12999999523162842,61660000,578565963776,733895852032,9383.1650390625,11902.30078125
1972,G,0.12999999523162842,61670000,238266384384,462441185280,3863.5703125,7498.64111328125
1982,G,0.12999999523162842,61600000,592906616832,720127590400,9625.107421875,11690.3828125
1983,G,0.12999999523162842,61380000,607664406528,714772840448,9900.0390625,11645.044921875
1984,G,0.14000000059604645,61130000,596350599168,687246606336,9755.44921875,11242.37890625
1970,G,0.12999999523162842,60710000,185345032192,408285642752,3052.957275390625,6725.17919921875
1971,G,0.12999999523162842,61290000,214317711360,437791916032,3496.781005859375,7142.95849609375
