ye,ma,tax,pop,engdp,ergdp,engdpc,ergdpc
1983,I,0.18000000715255737,56840000,382964924416,651068702720,6737.59521484375,11454.4111328125
1984,I,0.18000000715255737,57000000,397628702720,605877698560,6975.9423828125,10629.43359375
1985,I,0.18000000715255737,57140000,422792560640,590971076608,7399.23974609375,10342.5107421875
1986,I,0.18000000715255737,57250000,518258032640,671825133568,9052.5419921875,11734.9365234375
1987,I,0.18000000715255737,57340000,586240491520,716139986944,10223.935546875,12489.361328125
1988,I,0.18000000715255737,57440000,619034050560,708163469312,10777.0556640625,12328.7509765625
1989,I,0.18000000715255737,57540000,683839520768,736016728064,11884.59375,12791.392578125
1990,I,0.1899999976158142,57660000,808244281344,808244281344,14017.4169921875,14017.4169921875
1972,I,0.18000000715255737,54410000,126325055488,1225767124992,2321.724853515625,22528.341796875
1973,I,0.18000000715255737,54800000,137161875456,1169855348736,2502.953857421875,21347.724609375
1974,I,0.18000000715255737,55100000,157101850624,1110575677440,2851.21337890625,20155.638671875
1975,I,0.18000000715255737,55400000,175023652864,1067110825984,3159.271728515625,19261.927734375
1976,I,0.18000000715255737,55700000,177254760448,912438657024,3182.311767578125,16381.3046875
1977,I,0.18000000715255737,55930000,206884044800,893707288576,3698.981689453125,15979.0322265625
1978,I,0.18000000715255737,56130000,238652850176,904303542272,4251.78759765625,16110.876953125
1979,I,0.18000000715255737,56290000,290112307200,950574841856,5153.88720703125,16887.099609375
1980,I,0.18000000715255737,56430000,340604157952,923440316416,6035.8701171875,16364.3505859375
1981,I,0.18000000715255737,56510000,343542333440,781822066688,6079.3193359375,13835.1103515625
1982,I,0.18000000715255737,56640000,362268196864,705006796800,6395.97802734375,12447.154296875
1970,I,0.18000000715255737,53660000,107312668672,1179572764672,1999.8634033203125,21982.34765625
1971,I,0.18000000715255737,54010000,116680171520,1202707890176,2160.34375,22268.244140625
