ye,ma,tax,pop,engdp,ergdp,engdpc,ergdpc
1983,U,0.23333333432674408,56350000,426449174528,617548414976,7567.86474609375,10959.1552734375
1984,U,0.23333333432674408,56510000,414032003072,573213245440,7326.703125,10143.572265625
1985,U,0.23333333432674408,56680000,463348301824,606921949184,8174.81103515625,10707.8681640625
1986,U,0.23333333432674408,56850000,480713703424,609721188352,8455.826171875,10725.0869140625
1987,U,0.23333333432674408,57010000,539673985024,652143820800,9466.3037109375,11439.11328125
1988,U,0.23333333432674408,57160000,625649451008,712954740736,10945.58203125,12472.9658203125
1989,U,0.23333333432674408,57360000,649923395584,691470336000,11330.603515625,12054.921875
1990,U,0.23333333432674408,57560000,726807543808,726807543808,12626.955078125,12626.955078125
1975,U,0.23333333432674408,55900000,189924048896,694132801536,3397.56787109375,12417.40234375
1976,U,0.23333333432674408,55890000,191271534592,607211945984,3422.285400390625,10864.4111328125
1977,U,0.23333333432674408,55850000,219923070976,613147607040,3937.7451171875,10978.470703125
1978,U,0.23333333432674408,55840000,257047347200,642249195520,4603.283203125,11501.59765625
1980,U,0.23333333432674408,56330000,417151188992,762211794944,7405.48876953125,13531.1875
1981,U,0.23333333432674408,56350000,427476647936,700970696704,7586.0986328125,12439.5869140625
1982,U,0.23333333432674408,56310000,434333253632,661913731072,7713.25244140625,11754.81640625
1979,U,0.23333333432674408,55880000,329081520128,718605058048,5889.0751953125,12859.7900390625
1973,U,0.23333333432674408,55910000,150531506176,803584147456,2692.3896484375,14372.81640625
1974,U,0.23333333432674408,55920000,164525867008,764487532544,2942.1650390625,13671.0927734375
1971,U,0.23333333432674408,55610000,139585290240,862299553792,2510.075439453125,15506.1962890625
1972,U,0.23333333432674408,55780000,146109923328,834308603904,2619.396240234375,14957.1279296875
1970,U,0.23333333432674408,55420000,124033441792,838055952384,2238.062744140625,15121.904296875
